Datetime (UTC),Elia Grid Load [MW]
2022/8/15 0:00,4.015
2022/8/16 0:00,1.355
2022/8/17 0:00,0
2022/8/18 0:00,137.776
2022/8/19 0:00,15.846
2022/8/20 0:00,10.071
2022/8/21 0:00,73.146
2022/8/22 0:00,120.692
2022/8/23 0:00,63.806
2022/8/24 0:00,296.109
2022/8/25 0:00,246.425
2022/8/26 0:00,603.998
2022/8/27 0:00,535.582
2022/8/28 0:00,603.081
2022/8/29 0:00,557.092
2022/8/30 0:00,638.058
2022/8/31 0:00,218.815
2022/9/1 0:00,466.697
2022/9/2 0:00,618.761
2022/9/3 0:00,467.247
2022/9/4 0:00,363.788
2022/9/5 0:00,539.34
2022/9/6 0:00,674.176
2022/9/7 0:00,270.406
2022/9/8 0:00,593.436
2022/9/9 0:00,752.921
2022/9/10 0:00,694.651
2022/9/11 0:00,770.019
2022/9/12 0:00,415.587
2022/9/13 0:00,184.582
2022/9/14 0:00,439.925
2022/9/15 0:00,265.656
2022/9/16 0:00,190.336
2022/9/17 0:00,246.083
2022/9/18 0:00,264.517
2022/9/19 0:00,515.516
2022/9/20 0:00,601.688
2022/9/21 0:00,430.188
2022/9/22 0:00,551.921
2022/9/23 0:00,650.996
2022/9/24 0:00,368.866
2022/9/25 0:00,477.405
2022/9/26 0:00,691.895
2022/9/27 0:00,529.827
2022/9/28 0:00,683.42
2022/9/29 0:00,1348.86
2022/9/30 0:00,1276.26
2022/10/1 0:00,1431.149
2022/10/2 0:00,1304.02
2022/10/3 0:00,1913.42
2022/10/4 0:00,1582.867
2022/10/5 0:00,1082.736
2022/10/6 0:00,772.48
2022/10/7 0:00,762.353
2022/10/8 0:00,541.177
2022/10/9 0:00,868.288
2022/10/10 0:00,964.052
2022/10/11 0:00,983.232
2022/10/12 0:00,877.727
2022/10/13 0:00,885.068
2022/10/14 0:00,804.52
2022/10/15 0:00,754.519
2022/10/16 0:00,845.345
2022/10/17 0:00,834.416
2022/10/18 0:00,810.528
2022/10/19 0:00,848.411
2022/10/20 0:00,712.245
2022/10/21 0:00,702.612
2022/10/22 0:00,647.25
2022/10/23 0:00,575.32
2022/10/24 0:00,1044.432
2022/10/25 0:00,790.753
2022/10/26 0:00,994.766
2022/10/27 0:00,1292.795
2022/10/28 0:00,1019.577
2022/10/29 0:00,590.8
2022/10/30 0:00,815.043
2022/10/31 0:00,835.378
2022/11/1 0:00,1222.559
2022/11/2 0:00,1211.505
2022/11/3 0:00,1143.975
2022/11/4 0:00,984.162
2022/11/5 0:00,712.258
2022/11/6 0:00,1417.192
2022/11/7 0:00,863.041
2022/11/8 0:00,1165.591
2022/11/9 0:00,1003.629
2022/11/10 0:00,1609.256
2022/11/11 0:00,1399.168
2022/11/12 0:00,1357.481
2022/11/13 0:00,1255.23
2022/11/14 0:00,1415.385
2022/11/15 0:00,1523.219
2022/11/16 0:00,1525.875
2022/11/17 0:00,2024.915
2022/11/18 0:00,1537.635
2022/11/19 0:00,1986.885
2022/11/20 0:00,1798.221
2022/11/21 0:00,1438.542
2022/11/22 0:00,1457.214
2022/11/23 0:00,1261.391
2022/11/24 0:00,1405.418
2022/11/25 0:00,1276.664
2022/11/26 0:00,937.733
2022/11/27 0:00,1426.715
2022/11/28 0:00,1688.131
2022/11/29 0:00,2043.462
2022/11/30 0:00,1860.356
2022/12/1 0:00,1400.753
2022/12/2 0:00,1763.612
2022/12/3 0:00,1178.725
2022/12/4 0:00,1842.915
2022/12/5 0:00,1380.645
2022/12/6 0:00,2257.238
2022/12/7 0:00,1958.37
2022/12/8 0:00,2272.017
2022/12/9 0:00,2024.807
2022/12/10 0:00,1635.727
2022/12/11 0:00,2015.174
2022/12/12 0:00,2111.032
2022/12/13 0:00,1758.783
2022/12/14 0:00,2360.266
2022/12/15 0:00,1957.674
2022/12/16 0:00,1333.961
2022/12/17 0:00,1259.717
2022/12/18 0:00,1164.527
2022/12/19 0:00,1139.547
2022/12/20 0:00,1314.01
2022/12/21 0:00,1087.938
2022/12/22 0:00,1503.199
2022/12/23 0:00,1343.913
2022/12/24 0:00,1940.279
2022/12/25 0:00,1853.181
2022/12/26 0:00,1575.22
2022/12/27 0:00,2367.201
2022/12/28 0:00,1816.067
2022/12/29 0:00,2493.068
2023/1/1 0:00,2242.625
2023/1/2 0:00,2010.114
2023/1/3 0:00,1950.985
2023/1/4 0:00,2000.727
2023/1/5 0:00,2073.892
2023/1/6 0:00,2179.829
2023/1/7 0:00,2553.689
2023/1/8 0:00,1959.309
2023/1/9 0:00,1511.953
2023/1/10 0:00,1967.197
2023/1/11 0:00,2173.678
2023/1/12 0:00,2271.94
2023/1/13 0:00,2508.227
2023/1/14 0:00,3959.709
2023/1/15 0:00,4116.694
2023/1/16 0:00,3857.58
2023/1/17 0:00,3176.162
2023/1/18 0:00,3849.116
2023/1/19 0:00,3357.161
2023/1/20 0:00,4009.1
2023/1/21 0:00,1822.257
2023/1/22 0:00,2541.341
2023/1/23 0:00,2925.973
2023/1/24 0:00,3715.034
2023/1/25 0:00,4166.386
2023/1/26 0:00,4563.371
2023/1/27 0:00,3412.278
2023/1/28 0:00,2787.721
2023/1/29 0:00,2304.594
2023/1/30 0:00,2037.083
2023/1/31 0:00,1655.885
2023/2/1 0:00,1920.782
2023/2/2 0:00,1510.1
2023/2/3 0:00,1939.972
2023/2/4 0:00,2061.288
2023/2/5 0:00,2275.369
2023/2/6 0:00,1770.778
2023/2/7 0:00,1802.249
2023/2/8 0:00,1487.166
2023/2/9 0:00,1447.425
2023/2/10 0:00,2054.338
2023/2/11 0:00,2393.92
2023/2/12 0:00,1953.651
2023/2/13 0:00,1798.114
2023/2/14 0:00,1578.108
2023/2/15 0:00,1292.67
2023/2/16 0:00,1891.923
2023/2/17 0:00,1530.808
2023/2/18 0:00,1958.069
2023/2/19 0:00,2082.955
2023/2/20 0:00,1612.526
2023/2/21 0:00,1407.839
2023/2/22 0:00,1810.289
2023/2/23 0:00,1573.093
2023/2/24 0:00,2316.279
2023/2/25 0:00,2037.828
2023/2/26 0:00,2036.518
2023/2/27 0:00,1715.911
2023/2/28 0:00,1460.528
2023/3/1 0:00,1508.327
2023/3/2 0:00,1450.018
2023/3/3 0:00,1368.871
2023/3/4 0:00,1795.466
2023/3/5 0:00,1450.248
2023/3/6 0:00,1572.18
2023/3/7 0:00,1322.115
2023/3/8 0:00,1305.583
2023/3/9 0:00,1104.341
2023/3/10 0:00,1529.128
2023/3/11 0:00,1579.364
2023/3/12 0:00,1863.826
2023/3/13 0:00,1130.718
2023/3/14 0:00,1445.409
2023/3/15 0:00,1069.545
2023/3/16 0:00,1261.447
2023/3/17 0:00,2035.601
2023/3/18 0:00,2390.282
2023/3/19 0:00,1927.028
2023/3/20 0:00,1391.113
2023/3/21 0:00,1839.606
2023/3/22 0:00,1374.117
2023/3/23 0:00,1823.804
2023/3/24 0:00,1833.376
2023/3/25 0:00,2363.76
2023/3/26 0:00,1577.647
2023/3/27 0:00,1291.037
2023/3/28 0:00,1545.887
2023/3/29 0:00,1449.003
2023/3/30 0:00,1388.078
2023/3/31 0:00,1406.601
2023/4/1 0:00,2004.86
2023/4/2 0:00,1821.551
2023/4/3 0:00,1718.987
2023/4/4 0:00,1897.084
2023/4/5 0:00,1867.93
2023/4/6 0:00,1450.191
2023/4/7 0:00,1653.557
2023/4/8 0:00,1902.352
2023/4/9 0:00,1329.147
2023/4/10 0:00,1780.159
2023/4/11 0:00,1009.92
2023/4/12 0:00,1294.769
2023/4/13 0:00,1437.875
2023/4/14 0:00,1991.493
2023/4/15 0:00,1490.497
