Datetime (UTC),Elia Grid Load [MW]
2022/8/15 15:00,0
2022/8/15 16:00,4.015
2022/8/15 17:00,0
2022/8/15 18:00,0
2022/8/16 9:00,0
2022/8/16 10:00,1.355
2022/8/17 10:00,0
2022/8/19 17:00,10.995
2022/8/19 22:00,126.781
2022/8/20 15:00,15.846
2022/8/21 7:00,10.071
2022/8/22 16:00,73.146
2022/8/23 14:00,37.818
2022/8/23 15:00,23.309
2022/8/23 21:00,40.584
2022/8/23 22:00,18.981
2022/8/24 5:00,49.822
2022/8/24 19:00,10.425
2022/8/24 20:00,3.559
2022/8/25 15:00,106.153
2022/8/25 16:00,30.125
2022/8/25 17:00,24.458
2022/8/25 19:00,30.76
2022/8/25 21:00,28.134
2022/8/25 22:00,41.317
2022/8/25 23:00,35.162
2022/8/26 0:00,32.883
2022/8/26 6:00,17.366
2022/8/26 13:00,65.768
2022/8/26 14:00,23.764
2022/8/26 15:00,0
2022/8/26 16:00,38.924
2022/8/26 20:00,44.683
2022/8/26 23:00,23.037
2022/8/27 4:00,16.754
2022/8/27 8:00,98.466
2022/8/27 10:00,27.682
2022/8/27 13:00,109.872
2022/8/27 14:00,48.723
2022/8/27 15:00,81.994
2022/8/27 16:00,75.649
2022/8/27 17:00,52.818
2022/8/27 19:00,33.49
2022/8/27 20:00,6.056
2022/8/27 23:00,52.494
2022/8/28 0:00,35.357
2022/8/28 8:00,22.886
2022/8/28 9:00,13.045
2022/8/28 14:00,74.163
2022/8/28 15:00,43.072
2022/8/28 17:00,28.019
2022/8/28 18:00,16.747
2022/8/28 19:00,78.76
2022/8/28 20:00,30.328
2022/8/28 21:00,88.58
2022/8/28 22:00,24.543
2022/8/28 23:00,80.082
2022/8/29 0:00,49.731
2022/8/29 1:00,95.424
2022/8/29 7:00,44.356
2022/8/29 8:00,15.99
2022/8/29 13:00,24.122
2022/8/29 14:00,59.003
2022/8/29 18:00,70.223
2022/8/29 19:00,11.243
2022/8/29 20:00,59.236
